HotSpot,ComparedLastYearVoiceGrowth,ComparedPHolidayVoiceGrowth,ComparedLastYearTrafficGrowth,ComparedPHolidayTrafficGrowth
增从高速,-0.3321,0.2021,2.3382,2.3382
广乐高速,-0.2809,-0.0623,0.2992,0.2992
新光快线,-0.3848,-0.0821,0.7022,-0.0848
莞佛高速,-0.4114,-0.0377,0.5133,0.1007
广惠高速,-0.2716,-0.0923,-0.0283,-0.0283
番禺大道,-0.2975,-0.0382,0.7952,-0.0008
大广高速,-0.2782,-0.0117,2.087,2.0881
华快三期,-0.3967,-0.0895,0.6218,-0.1575
广深高速,-0.4521,-0.0012,-0.0457,-0.0818
106国道,-0.3594,-0.0713,0.2987,-0.1329
广州绕城高速,-0.1571,-0.0536,0.2094,-0.0874
东新高速,-0.3358,0.3344,0.6874,-0.0495
广河高速,-0.3797,-0.3261,1.7045,1.3361
广清高速,-0.4616,-0.0276,0.068,-0.2111
广园快线,-0.4496,-0.0172,0.0815,-0.1219
华南快线,-0.4414,0.1189,0.4711,-0.0779
G324国道,-0.2272,-0.0568,-0.0517,-0.0517
南沙港快线,-0.2361,-0.0616,0.5415,-0.1346
京珠高速,-0.2168,-0.0372,0.4396,-0.0358
105国道,-0.3687,0.0113,0.445,0.007
机场高速,-0.3582,0.0272,0.6044,0.0052
环城高速,-0.4743,0.0562,0.5685,-0.0512
五仙观,-0.3182,-0.3029,0.5491,0.0417
仁威庙,-0.2557,0.3789,0.1105,-0.1072
城隍庙,-0.3259,-0.2211,-0.3711,-0.0111
大佛古寺,-0.3389,0.2862,0.4113,0.7897
巡游路线,-0.3709,0.1614,0.6181,0.5496
光孝寺,0.8945,1.1539,0.1888,1.1963
西和村,-0.4593,0.9282,0.4127,3.3456
广东省博物馆,-0.1614,0.9369,1.2463,0.7008
正果湖心岛,-0.3145,-0.0956,0.3667,2.5307
南沙森林公园,-0.546,-0.4911,1.1041,0.1535
高百丈风景区,-0.3019,0.5464,-0.0519,0.9008
余荫山房,-0.4714,-0.483,,
小楼何仙姑,-0.5,2.6728,,
南湖风景区,-0.3418,-0.2557,-0.4769,-0.2156
正果佛爷寺,-0.1993,1.045,-0.952,-0.1704
广州海洋馆,-0.3259,0.236,0.0528,0.4153
南沙黄山鲁公园,-0.8185,-0.3407,-0.1677,-0.1943
罗汉山,-0.3883,-0.3821,0.4376,0.1327
王子山,-0.2228,0.1419,-0.2532,2.3353
流溪河国家森林公园,-0.302,0.2731,0.3813,2.1757
石门国家森林公园,-0.3896,0.9265,0.7655,5.5589
芙蓉嶂,-0.5278,-0.1135,-0.3103,0.6805
太阳城广场,-0.4453,-0.5117,0.734,-0.2272
岭南印象园,-0.1293,0.3443,0.1651,0.1438
秀全公园,-0.5765,-0.095,0.4691,0.2526
海珠湿地公园,-0.615,-0.6057,,
沙湾宝墨园,-0.1256,0.3053,3.9143,4.7883
溪头村古村落群,-0.2817,-0.2573,0.8444,1.6701
沙面露德圣母堂,0.2474,-0.5332,-0.1005,0.2021
文化公园,-0.2744,-0.7684,0.5111,-0.7336
花都人民公园,-0.4203,-0.39,0.0386,-0.4828
广州动物园,-0.1717,0.159,0.4723,-0.2323
百万葵园,-0.3491,0.3443,0.753,4.1718
白云公园,-0.6782,-0.4873,0.3414,-0.286
天后宫,-0.3992,2.3028,1.1325,2.3607
海珠湖公园,-0.5294,-0.5024,-0.1592,-0.5926
石室圣心大教堂,-0.2882,-0.518,0.4971,-0.2225
花都区文化中心广场,-0.1136,0.1175,0.1458,-0.3918
荔湾湖公园,-0.3174,-0.2888,,1.2816
荔枝湾涌,-0.3394,-0.2541,0.3415,0.2442
花都广场,-0.1309,0.1456,0.3765,-0.2605
良口旅游区,-0.2604,-0.0915,0.4846,0.3856
大夫山,-0.3761,0.2516,0.5288,1.0477
沙面,0.0164,-0.6558,0.75,0.4344
海心沙,0.4904,0.746,-0.1123,1.6582
白水寨,-0.3634,0.2994,0.7141,1.3565
南海神庙,-0.4071,-0.5654,-0.0213,-0.3524
从化温泉风景区（流溪河温泉）,-0.254,-0.1884,0.6495,0.7554
广州新电视塔,-0.2577,0.8661,0.2599,0.3993
白云国际会议中心,-0.5731,-0.7056,-0.1207,-0.3817
越秀公园,-0.2026,-0.2177,1.2038,1.2941
二沙岛,-0.4513,-0.4421,0.4409,0.112
盘古王公园,-0.5114,-0.7705,0.509,-0.7686
番禺文化广场,-0.4809,-0.3079,-0.2559,-0.1398
天河公园,-0.3663,-0.5263,0.2788,-0.5064
莲花山,-0.432,3.1372,-0.1391,2.823
长隆度假园区,-0.3032,0.1185,1.5064,1.6941
白云山,-0.3636,0.061,0.4275,0.8629
花城广场,-0.3576,-0.5052,0.6466,-0.326
APM线,-0.3692,-0.5481,0.5845,-0.4451
广佛线,-0.3079,-0.5481,3.2773,-0.4177
地铁四线,-0.3653,-0.6384,0.8022,-0.5623
地铁八线,-0.6321,-0.6308,0.8469,-0.2311
地铁七线,-0.2779,-0.5721,1.5129,-0.481
地铁一线,-0.5123,-0.387,1.1072,-0.29
地铁五线,-0.3617,-0.5934,0.5969,-0.4435
地铁二线,-0.3324,-0.579,0.7419,-0.5204
地铁三线,-0.3958,-0.6429,0.7088,-0.571
地铁六线,-0.3508,-0.5961,0.8305,-0.552
地铁,-0.4114,-0.5756,0.8303,-0.4836
